Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11127108,The Blind Assassin,Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",5.0,Virago,ebook,658,2009,2000,2018/09/04,2018/09/04,,,read,,,,1,0
45214029,Blade Runner 2019 #1,Michael  Green,"Green, Michael",,"=""1787733203""","=""9781787733206""",4.0,Titan,Kindle Edition,28,2019,2019,2019/07/29,2019/07/28,,,read,,,,1,0
29440004,Chernobyl Prayer,Svetlana Alexievich,"Alexievich, Svetlana","Anna Gunin, Arch Tait","=""""","=""""",0,Penguin Modern Classics,Paperback,294,2016,1997,,2019/07/19,to-read,to-read (#327),to-read,,,,0,0
33792042,The Unwomanly Face of War,Svetlana Alexievich,"Alexievich, Svetlana","Richard Pevear, Larissa Volokhonsky","=""0141983523""","=""9780141983523""",0,Penguin Classics,Paperback,372,2017,1983,,2019/07/19,to-read,to-read (#326),to-read,,,,0,0
111101,Bliss,Peter Carey,"Carey, Peter",,"=""057116272X""","=""9780571162727""",5.0,Harper & Row,Paperback,296,1991,1981,2019/07/14,2019/06/15,,,read,,,,1,0
941731,The Death of Grass,John Christopher,"Christopher, John",,"=""0722122977""","=""9780722122976""",0,Sphere (London),Paperback,224,1982,1956,,2019/07/10,to-read,to-read (#325),to-read,,,,0,0
41454542,How Long 'til Black Future Month?,N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4.0,Orbit,Kindle Edition,449,2018,2018,2019/07/03,2019/06/24,,,read,,,,1,0
19181911,Toilet: Public Restrooms and the Politics of Sharing (NYU Series in Social and Cultural Analysis Book 1),Harvey Molotch,"Molotch, Harvey",Laura Noren,"=""""","=""""",4.0,NYU Press,Kindle Edition,325,2010,2010,2019/06/27,2019/06/27,,,read,,,,1,0
676046,The Sciences of the Artificial,Herbert A. Simon,"Simon, Herbert A.",,"=""0262691914""","=""9780262691918""",4.0,MIT Press,Paperback,248,1996,1969,2019/06/09,2013/05/27,,,read,,,,1,0
44666731,"Fall; or, Dodge in Hell",Neal Stephenson,"Stephenson, Neal",,"=""1460706994""","=""9781460706992""",4.0,HarperCollins,Kindle Edition,720,2019,2019,2019/06/08,2019/05/28,,,read,,,,1,0
33222458,"A Very Short, Fairly Interesting and Reasonably Cheap Book About Studying Organizations",Christopher  Grey,"Grey, Christopher",,"=""1473988195""","=""9781473988194""",5.0,SAGE Publications Ltd,Kindle Edition,196,2016,2005,2018/04/10,2018/04/02,,,read,,,,1,0
20605551,The Prefab Bathroom: An Architectural History,Deborah Schneiderman,"Schneiderman, Deborah",Bishakh Kumar Som,"=""0786476001""","=""9780786476008""",4.0,McFarland,Paperback,136,2014,2014,2019/05/17,2019/05/17,,,read,,,,1,0
22935798,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",,"=""0241971829""","=""9780241971826""",5.0,Easton Press,Hardcover,422,1998,1967,2019/05/09,2019/01/25,,,read,,,,1,0
39398450,Massive Attack: Out Of The Comfort Zone,Melissa Chemam,"Chemam, Melissa",,"=""1910089729""","=""9781910089729""",0,Tangent Books,Paperback,312,2019,,,2019/05/07,to-read,to-read (#324),to-read,,,,0,0
19932464,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""""","=""""",5.0,Headline,ebook,306,2014,1979,2018/01/30,2018/01/26,,,read,,,,1,0
102920,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,"=""""","=""""",5.0,HarperPerennial,Paperback,222,1993,1993,2019/05/02,2019/04/26,,,read,,,,1,0
20085217,Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,"Coram, Robert",,"=""""","=""""",4.0,"Little, Brown and Company",Kindle Edition,506,2002,2002,2019/04/24,2019/04/20,,,read,,,,1,0
38472012,Breaking Smart: How Software is Eating the World,Venkatesh G. Rao,"Rao, Venkatesh G.",Grace Witherell,"=""""","=""""",0,Ribbonfarm.com,Kindle Edition,167,2018,2015,,2019/03/01,to-read,to-read (#323),to-read,,,,0,0
43186164,Ursula K. Le Guin: The Last Interview: and Other Conversations,Ursula K. Le Guin,"Guin, Ursula K. Le",David Streitfeld,"=""1612197809""","=""9781612197807""",5.0,Melville House,Kindle Edition,208,2019,2019,2019/04/16,2019/04/09,,,read,,,,1,0
41552709,The Uninhabitable Earth: Life After Warming,David Wallace-Wells,"Wallace-Wells, David",,"=""0525576703""","=""9780525576709""",0,Tim Duggan Books,Hardcover,310,2019,2019,,2019/04/09,to-read,to-read (#322),to-read,,,,0,0
206998,"Techgnosis: Myth, Magic & Mysticism in the Age of Information",Erik              Davis,"Davis, Erik",,"=""1852427728""","=""9781852427726""",4.0,Serpents Tail,Paperback,435,2005,1998,2019/04/07,2017/01/15,,,read,,,,1,0
33314081,The Stone Sky,N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4.0,Orbit,Kindle Edition,417,2017,2017,2019/04/07,2019/04/01,,,read,,,,1,0
29508057,The Obelisk Gate (The Broken Earth #2),N.K. Jemisin,"Jemisin, N.K.",,"=""0356504891""","=""9780356504896""",4.0,Orbit,Kindle Edition,408,2016,2016,2019/03/26,2019/03/23,,,read,,,,1,0
11982247,Crash,J.G. Ballard,"Ballard, J.G.","Zadie Smith, Travis Elborough","=""""","=""""",4.0,Fourth Estate,ebook,225,2009,1973,2019/02/23,2014/12/31,,,read,,,,1,0
41949358,William Gibson's Alien 3 #1,William Gibson,"Gibson, William","Johnnie Christmas, Tamra Bonvillain","=""""","=""""",0,Dark Horse,Kindle Edition,25,2018,,2019/02/21,2019/02/21,,,read,,,,1,0
