book_id,title,author_1_name,isbn,isbn13,rating,publisher,format,num_pages,publication_year,started_at,read_at,date_added,bookshelves,read_count,ficOrNonFic,SeriesOrStandalone,LGBTQIA_Characters
18652331,"Katabasis (Foreworld, #4)",Joseph Brassey,1477898212,9781477898215,4.0,47North,Kindle Edition,424.0,2013.0,,2016-05-12,2016-05-10,,1,Fiction,Series,No
13665175,"The Mongoliad: Book Two (Foreworld, #2)",Neal Stephenson,1612187455,9781612187457,4.0,47North,Kindle Edition,464.0,2012.0,,2015-02-28,2014-12-31,,1,Fiction,Series,No
16059493,"The Mongoliad: Book Three (Foreworld, #3)",Neal Stephenson,,,4.0,47North,ebook,804.0,2013.0,,2016-05-20,2014-12-31,,1,Fiction,Series,No
28420702,The Course of Love,Alain de Botton,,,5.0,Penguin,Kindle Edition,227.0,2016.0,2016-10-14,2016-10-20,2016-10-12,,1,Fiction,Standalone,No
31195557,The Power,Naomi Alderman,,,5.0,Penguin,Kindle Edition,328.0,2016.0,2016-12-22,2016-12-25,2016-12-25,,1,Fiction,Standalone,No
17290330,How Not to Be a D*ck: An Everyday Etiquette Guide,Meghan Doherty,1936976021,9781936976027,4.0,Zest Books ™,Hardcover,192.0,2013.0,,2016-12-30,2016-12-30,,1,NonFiction,Standalone,No
7439970,The Handmaid's Tale,Margaret Atwood,,,5.0,Vintage Digital,ebook,325.0,1985.0,2016-12-14,2016-12-22,2016-12-14,,1,Fiction,Standalone,Yes
29369422,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,,,5.0,Vintage Digital,Kindle Edition,513.0,2015.0,2016-12-19,2016-12-19,2016-10-12,,1,NonFiction,Standalone,No
8125726,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,,9780884272748,5.0,North River Press,Kindle Edition,362.0,,2016-11-10,2016-11-13,2016-11-12,,1,Fiction,Standalone,No
18658803,The Circle,Dave Eggers,0241967554,9780241967553,0.0,Penguin,Kindle Edition,504.0,2013.0,,2015-01-01,2014-12-31,,1,Fiction,Standalone,No
227463,A Clockwork Orange,Anthony Burgess,,,5.0,W. W. Norton & Company,Paperback,192.0,1962.0,,1996-01-01,2013-04-19,,1,Fiction,Standalone,No
5550,Perfectly Reasonable Deviations (from the Beaten Track): The Letters of Richard P. Feynman,Richard P. Feynman,0738206369,9780738206363,5.0,Basic Books,cloth,486.0,2004.0,,2011-01-01,2014-06-13,,1,NonFiction,Standalone,No
8908,World War Z: An Oral History of the Zombie War,Max Brooks,0307346609,9780307346605,5.0,Crown,Hardcover,342.0,2006.0,,2010-01-01,2013-04-19,,1,NonFiction,Standalone,No
25400395,"Ancillary Mercy (Imperial Radch, #3)",Ann Leckie,,,4.0,Orbit,Kindle Edition,354.0,2015.0,,2016-11-02,2016-11-02,,1,Fiction,Series,Yes
20706284,Ancillary Sword (Imperial Radch #2),Ann Leckie,0316246654,9780316246651,4.0,Orbit,Paperback,359.0,2014.0,,2016-10-30,2016-10-30,,1,Fiction,Series,Yes
9534,"Shadow of the Hegemon (The Shadow Series, #2)",Orson Scott Card,0812565959,9780812565959,4.0,Tor Books,Mass Market Paperback,451.0,2000.0,,2016-06-01,2016-05-10,,1,Fiction,Series,No
